"concept_id","category","zh_reference","en-GB","zh-CN","en-US","de-DE","el-GR","it-IT","ja-JP","pl-PL","ru-RU","scope_notes"
"org-rhine-lab","company","莱茵生命","Rhine Lab [official_direct;org-rhine-lab:F02;source=en;not-edition-approved]","莱茵生命 [community_reference;org-rhine-lab:F01]","Rhine Lab [official_direct;org-rhine-lab:F02;source=en;not-edition-approved]","Rhine Lab [candidate;protected_name;CAND-org-rhine-lab-de-DE]","Rhine Lab [candidate;protected_name;CAND-org-rhine-lab-el-GR]","Rhine Lab [candidate;protected_name;CAND-org-rhine-lab-it-IT]","ライン生命 [official_direct;org-rhine-lab:F03]","Rhine Lab [candidate;protected_name;CAND-org-rhine-lab-pl-PL]","Rhine Lab [candidate;protected_name;CAND-org-rhine-lab-ru-RU]","公司名不是现实莱茵河地名；Rhine Lab LLC.为全称形式，未经证据不能写Rhine Life。"
"org-maylander-foundation","organization","梅兰德基金会","Maylander Foundation [community_reference;org-maylander-foundation:F02;source=en;not-edition-approved]","梅兰德基金会 [community_reference;org-maylander-foundation:F01]","Maylander Foundation [community_reference;org-maylander-foundation:F02;source=en;not-edition-approved]","Maylander-Stiftung [candidate;hybrid_name;CAND-org-maylander-foundation-de-DE]","Ίδρυμα Maylander [candidate;hybrid_name;CAND-org-maylander-foundation-el-GR]","Fondazione Maylander [candidate;hybrid_name;CAND-org-maylander-foundation-it-IT]","マイレンダー基金 [community_reference;org-maylander-foundation:F03]","Fundacja Maylander [candidate;hybrid_name;CAND-org-maylander-foundation-pl-PL]","фонд Maylander [candidate;hybrid_name;CAND-org-maylander-foundation-ru-RU]","Maylander拼写保留；不要写Mayerlander；人物梅兰德·塞勒涅与基金会分开。"
"org-blacksteel-worldwide","company","黑钢国际","Blacksteel Worldwide [official_direct;org-blacksteel-worldwide:F02;source=en;not-edition-approved]","黑钢国际 [community_reference;org-blacksteel-worldwide:F01]","Blacksteel Worldwide [official_direct;org-blacksteel-worldwide:F02;source=en;not-edition-approved]","Blacksteel Worldwide [candidate;protected_name;CAND-org-blacksteel-worldwide-de-DE]","Blacksteel Worldwide [candidate;protected_name;CAND-org-blacksteel-worldwide-el-GR]","Blacksteel Worldwide [candidate;protected_name;CAND-org-blacksteel-worldwide-it-IT]","ブラックスチール・ワールドワイド [community_reference;org-blacksteel-worldwide:F03]","Blacksteel Worldwide [candidate;protected_name;CAND-org-blacksteel-worldwide-pl-PL]","Blacksteel Worldwide [candidate;protected_name;CAND-org-blacksteel-worldwide-ru-RU]","Blacksteel为简称；BlackSteel International Private Security Consultants为社区登记别名，不取代当前主形式。"
"org-penguin-logistics","company","企鹅物流","Penguin Logistics [official_direct;org-penguin-logistics:F02;source=en;not-edition-approved]","企鹅物流 [community_reference;org-penguin-logistics:F01]","Penguin Logistics [official_direct;org-penguin-logistics:F02;source=en;not-edition-approved]","Penguin Logistics [candidate;protected_name;CAND-org-penguin-logistics-de-DE]","Penguin Logistics [candidate;protected_name;CAND-org-penguin-logistics-el-GR]","Penguin Logistics [candidate;protected_name;CAND-org-penguin-logistics-it-IT]","ペンギン急便 [official_direct;org-penguin-logistics:F03]","Penguin Logistics [candidate;protected_name;CAND-org-penguin-logistics-pl-PL]","Penguin Logistics [candidate;protected_name;CAND-org-penguin-logistics-ru-RU]","机构名称不从中文逐字机器翻译；与普通企鹅动物词分开。"
"org-karlan-trade","company","喀兰贸易","Karlan Trade [community_reference;org-karlan-trade:F02;source=en;not-edition-approved]","喀兰贸易 [community_reference;org-karlan-trade:F01]","Karlan Trade [community_reference;org-karlan-trade:F02;source=en;not-edition-approved]","Karlan Trade [candidate;protected_name;CAND-org-karlan-trade-de-DE]","Karlan Trade [candidate;protected_name;CAND-org-karlan-trade-el-GR]","Karlan Trade [candidate;protected_name;CAND-org-karlan-trade-it-IT]","カランド貿易 [community_reference;org-karlan-trade:F03]","Karlan Trade [candidate;protected_name;CAND-org-karlan-trade-pl-PL]","Karlan Trade [candidate;protected_name;CAND-org-karlan-trade-ru-RU]","公司名Karlan不能与国家Kjerag等同。Karlan Trade Co., Ltd.与Karlan Commercial是来源不同的全称／别名。"
"org-raythean-industries","company","雷神重工","Raythean Industries [community_reference;org-raythean-industries:F02;source=en;not-edition-approved]","雷神重工 [community_reference;org-raythean-industries:F01]","Raythean Industries [community_reference;org-raythean-industries:F02;source=en;not-edition-approved]","Raythean Industries [candidate;protected_name;CAND-org-raythean-industries-de-DE]","Raythean Industries [candidate;protected_name;CAND-org-raythean-industries-el-GR]","Raythean Industries [candidate;protected_name;CAND-org-raythean-industries-it-IT]","レイジアン工業 [community_reference;org-raythean-industries:F03]","Raythean Industries [candidate;protected_name;CAND-org-raythean-industries-pl-PL]","Raythean Industries [candidate;protected_name;CAND-org-raythean-industries-ru-RU]","中文雷神工业仅为任务中的待核表述；现有证据中文字段作雷神重工。Raythean不要误写成现实Raytheon。"
"org-kazimierz-general-chamber","organization","卡西米尔商业联合会","Kazimierz General Chamber of Commerce [community_reference;org-kazimierz-general-chamber:F02;source=en;not-edition-approved]","卡西米尔商业联合会 [community_reference;org-kazimierz-general-chamber:F01]","Kazimierz General Chamber of Commerce [community_reference;org-kazimierz-general-chamber:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","カジミエーシュ商業連合会 [community_reference;org-kazimierz-general-chamber:F03]","[not_verified]","[not_verified]","简称KGCC可作检索候选；不能与无胄盟作为同一机构合并。日文去除了检索注音。"
"org-armorless-union","organization","卡西米尔无胄盟","Kazimierz Armorless Union [community_reference;org-armorless-union:F02;source=en;not-edition-approved]","卡西米尔无胄盟 [community_reference;org-armorless-union:F01]","Kazimierz Armorless Union [community_reference;org-armorless-union:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","カジミエーシュ無冑盟 [community_reference;org-armorless-union:F03]","[not_verified]","[not_verified]","简称无胄盟／Armorless Union；中文胄与日文冑字形不应自动相互覆盖。旧英名Scionless Alliance仅是历史形式。"
"org-reunion","organization","整合运动","Reunion Movement [community_reference;org-reunion:F02;source=en;not-edition-approved]","整合运动 [official_direct;org-reunion:F01]","Reunion Movement [community_reference;org-reunion:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","レユニオン・ムーブメント [community_reference;org-reunion:F03]","[not_verified]","[not_verified]","感染者是人群状态，不等于整合运动成员。对其定性应附故事阶段，避免将后期改革与早期暴力活动混为一谈。"
"org-pinus-sylvestris","organization","红松骑士团","Pinus Sylvestris Knightclub [community_reference;org-pinus-sylvestris:F02;source=en;not-edition-approved]","红松骑士团 [community_reference;org-pinus-sylvestris:F01]","Pinus Sylvestris Knightclub [community_reference;org-pinus-sylvestris:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","レッドパイン騎士団 [community_reference;org-pinus-sylvestris:F03]","[not_verified]","[not_verified]","组织与同名活动区别；中文红松的骑士是活动题名，不等于机构全称。"
"org-followers","organization","使徒","Followers [community_reference;org-followers:F02;source=en;not-edition-approved]","使徒 [community_reference;org-followers:F01]","Followers [community_reference;org-followers:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","使徒 [community_reference;org-followers:F03]","[not_verified]","[not_verified]","这是特定团体名；勿泛化成所有宗教使徒，英文不是Apostles。"
"org-lungmen-guard-department","organization","龙门近卫局","Lungmen Guard Department [community_reference;org-lungmen-guard-department:F02;source=en;not-edition-approved]","龙门近卫局 [community_reference;org-lungmen-guard-department:F01]","Lungmen Guard Department [community_reference;org-lungmen-guard-department:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","龍門近衛局 [community_reference;org-lungmen-guard-department:F03]","[not_verified]","[not_verified]","L.G.D.为常见英文缩写；历任长官随时间变化，术语记录不冻结当前人事。"
"person-amiya","person","阿米娅","Amiya [official_direct;person-amiya:F02;source=en;not-edition-approved]","阿米娅 [official_direct;person-amiya:F01]","Amiya [official_direct;person-amiya:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","アーミヤ [official_direct;person-amiya:F03]","[not_verified]","[not_verified]","本次只登记名称和机构关联，年龄与后续身份变化不纳入稳定词义。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-kaltsit","person","凯尔希","Kal'tsit [community_reference;person-kaltsit:F02;source=en;not-edition-approved]","凯尔希 [official_direct;person-kaltsit:F01]","Kal'tsit [community_reference;person-kaltsit:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ケルシー [official_direct;person-kaltsit:F03]","[not_verified]","[not_verified]","英文撇号是名称组成部分；不将俄语词源当成独立已批准译名；不套用后续异格状态。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-doctor","person","博士","Doctor [community_reference;person-doctor:F02;source=en;not-edition-approved]","博士 [official_direct;person-doctor:F01]","Doctor [community_reference;person-doctor:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ドクター [official_direct;person-doctor:F03]","[not_verified]","[not_verified]","Doctor是称呼而非本次核实的个人本名；不要固定玩家名、性别或称谓带来的真实学历。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-theresa","person","特蕾西娅","Theresa [community_reference;person-theresa:F02;source=en;not-edition-approved]","特蕾西娅 [community_reference;person-theresa:F01]","Theresa [community_reference;person-theresa:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","テレジア [community_reference;person-theresa:F03]","[not_verified]","[not_verified]","和特雷西斯是不同人物；与文明的存续等衍生存在不能仅凭外形合并。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-theresis","person","特雷西斯","Theresis [community_reference;person-theresis:F02;source=en;not-edition-approved]","特雷西斯 [community_reference;person-theresis:F01]","Theresis [community_reference;person-theresis:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","テレシス [community_reference;person-theresis:F03]","[not_verified]","[not_verified]","中文不是特蕾西斯；不可与Theresa交换，生死及职务必须附故事时期。"
"person-saria","person","塞雷娅","Saria [community_reference;person-saria:F02;source=en;not-edition-approved]","塞雷娅 [community_reference;person-saria:F01]","Saria [community_reference;person-saria:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サリア [community_reference;person-saria:F03]","[not_verified]","[not_verified]","干员名与此前在莱茵生命的具体职务分开；不将已离任职务当永久定义。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-silence","person","赫默","Silence [community_reference;person-silence:F02;source=en;not-edition-approved]","赫默 [community_reference;person-silence:F01]","Silence [community_reference;person-silence:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サイレンス [community_reference;person-silence:F03]","[not_verified]","[not_verified]","Silence为干员显示名；本名全称奥利维亚·赫默／Olivia Silence另需字段承载，不能强制用于所有署名。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-kristen-wright","person","克丽斯腾·莱特","Kristen Wright [community_reference;person-kristen-wright:F02;source=en;not-edition-approved]","克丽斯腾·莱特 [community_reference;person-kristen-wright:F01]","Kristen Wright [community_reference;person-kristen-wright:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","クリステン・ライト [community_reference;person-kristen-wright:F03]","[not_verified]","[not_verified]","全名与克丽斯腾简称分开；不要因中文近音而与Miss.Christine合并。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-emperor","person","大帝","Emperor [community_reference;person-emperor:F02;source=en;not-edition-approved]","大帝 [community_reference;person-emperor:F01]","Emperor [community_reference;person-emperor:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","エンペラー [official_direct;person-emperor:F03]","[not_verified]","[not_verified]","此为企鹅形角色称号，不是乌萨斯或其他国家的皇帝头衔。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-texas","person","德克萨斯","Texas [community_reference;person-texas:F02;source=en;not-edition-approved]","德克萨斯 [community_reference;person-texas:F01]","Texas [community_reference;person-texas:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","テキサス [community_reference;person-texas:F03]","[not_verified]","[not_verified]","人物名称与现实美国州名同形；本研究不从现实地名派生人名。异格代号另附时期。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-chen","person","陈","Ch'en [community_reference;person-chen:F02;source=en;not-edition-approved]","陈 [community_reference;person-chen:F01]","Ch'en [community_reference;person-chen:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","チェン [community_reference;person-chen:F03]","[not_verified]","[not_verified]","Ch'en的撇号保留；陈是干员短名，人物全名及不同职务不能无条件替换。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-hoshiguma","person","星熊","Hoshiguma [community_reference;person-hoshiguma:F02;source=en;not-edition-approved]","星熊 [community_reference;person-hoshiguma:F01]","Hoshiguma [community_reference;person-hoshiguma:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ホシグマ [community_reference;person-hoshiguma:F03]","[not_verified]","[not_verified]","姓名不回译成字面的星与熊；后续异格代号及升任职务分别记录。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-nearl","person","临光","Nearl [community_reference;person-nearl:F02;source=en;not-edition-approved]","临光 [community_reference;person-nearl:F01]","Nearl [community_reference;person-nearl:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ニアール [community_reference;person-nearl:F03]","[not_verified]","[not_verified]","临光可能指个人代号或家族，本文限定干员个人；耀骑士称号与异格不用于所有时期。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-patriot","person","爱国者","Patriot [community_reference;person-patriot:F02;source=en;not-edition-approved] || Buldrokkas'tee [community_reference;person-patriot:F05;source=en;not-edition-approved]","爱国者 [community_reference;person-patriot:F01] || 博卓卡斯替 [community_reference;person-patriot:F04]","Patriot [community_reference;person-patriot:F02;source=en;not-edition-approved] || Buldrokkas'tee [community_reference;person-patriot:F05;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","パトリオット [community_reference;person-patriot:F03] || ボジョカスティ [community_reference;person-patriot:F06]","[not_verified]","[not_verified]","爱国者为称号；不泛化成所有忠于国家的人。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"person-talulah","person","塔露拉·雅特利亚斯","Talulah Artorius [community_reference;person-talulah:F02;source=en;not-edition-approved]","塔露拉·雅特利亚斯 [community_reference;person-talulah:F01]","Talulah Artorius [community_reference;person-talulah:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","タルラ・アルトリウス [community_reference;person-talulah:F03]","[not_verified]","[not_verified]","全名与塔露拉简称按语境使用；不同剧情阶段的意识、领导状态不能由同名自动推定。 member_of仅表示引证故事阶段的成员关系，不能解释为当前仍在职。"
"concept-originium","concept","源石","Originium [official_direct;concept-originium:F02;source=en;not-edition-approved]","源石 [official_direct;concept-originium:F01]","Originium [official_direct;concept-originium:F02;source=en;not-edition-approved]","Originium [candidate;protected_name;CAND-concept-originium-de-DE]","Originium [candidate;protected_name;CAND-concept-originium-el-GR]","Originium [candidate;protected_name;CAND-concept-originium-it-IT]","源石 [official_direct;concept-originium:F03]","Originium [candidate;protected_name;CAND-concept-originium-pl-PL]","Originium [candidate;protected_name;CAND-concept-originium-ru-RU]","区别于商店货币至纯源石及合成玉；此处只定义基础物质。"
"concept-oripathy","disease","矿石病","Oripathy [community_reference;concept-oripathy:F02;source=en;not-edition-approved]","矿石病 [official_direct;concept-oripathy:F01]","Oripathy [community_reference;concept-oripathy:F02;source=en;not-edition-approved]","Oripathy [candidate;protected_name;CAND-concept-oripathy-de-DE]","Oripathy [candidate;protected_name;CAND-concept-oripathy-el-GR]","Oripathy [candidate;protected_name;CAND-concept-oripathy-it-IT]","鉱石病 [official_direct;concept-oripathy:F03]","Oripathy [candidate;protected_name;CAND-concept-oripathy-pl-PL]","Oripathy [candidate;protected_name;CAND-concept-oripathy-ru-RU]","输入误称“源石病”应记录为应避免译法，不能设为中文标准；本包不把疾病机制移用于现实医疗。"
"concept-infected","concept","感染者","Infected [community_reference;concept-infected:F02;source=en;not-edition-approved]","感染者 [official_direct;concept-infected:F01]","Infected [community_reference;concept-infected:F02;source=en;not-edition-approved]","Infizierte [candidate;semantic_translation;CAND-concept-infected-de-DE]","μολυσμένοι [candidate;semantic_translation;CAND-concept-infected-el-GR]","infetti [candidate;semantic_translation;CAND-concept-infected-it-IT]","感染者 [official_direct;concept-infected:F03]","zarażeni [candidate;semantic_translation;CAND-concept-infected-pl-PL]","заражённые [candidate;semantic_translation;CAND-concept-infected-ru-RU]","感染者是健康与社会处境，不是种族；不等于敌方阵营。"
"concept-arts","concept","源石技艺","Arts [official_direct;concept-arts:F02;source=en;not-edition-approved] || Originium Arts [community_reference;concept-arts:F03;source=en;not-edition-approved]","源石技艺 [official_reproduced;concept-arts:F01]","Arts [official_direct;concept-arts:F02;source=en;not-edition-approved] || Originium Arts [community_reference;concept-arts:F03;source=en;not-edition-approved]","Originium-Künste [candidate;semantic_translation;CAND-concept-arts-de-DE]","τέχνες του Originium [candidate;semantic_translation;CAND-concept-arts-el-GR]","arti dell’Originium [candidate;semantic_translation;CAND-concept-arts-it-IT]","アーツ [official_direct;concept-arts:F04]","sztuki Originium [candidate;semantic_translation;CAND-concept-arts-pl-PL]","искусства Originium [candidate;semantic_translation;CAND-concept-arts-ru-RU]","英文Arts在设定语境指源石技艺；剧团网站普通arts/艺术文案不能全部映射到本概念。"
"concept-catastrophe","concept","天灾","Catastrophes [official_direct;concept-catastrophe:F02;source=en;not-edition-approved]","天灾 [official_direct;concept-catastrophe:F01]","Catastrophes [official_direct;concept-catastrophe:F02;source=en;not-edition-approved]","Katastrophe [candidate;semantic_translation;CAND-concept-catastrophe-de-DE]","καταστροφή [candidate;semantic_translation;CAND-concept-catastrophe-el-GR]","catastrofe [candidate;semantic_translation;CAND-concept-catastrophe-it-IT]","天災 [official_direct;concept-catastrophe:F03]","katastrofa [candidate;semantic_translation;CAND-concept-catastrophe-pl-PL]","катастрофа [candidate;semantic_translation;CAND-concept-catastrophe-ru-RU]","不是任意失误、事故或叙事污染的统一名称；英文原访谈提供复数，保留实际可见字形。"
"concept-nomadic-city","concept","移动城市","Nomadic city [community_reference;concept-nomadic-city:F02;source=en;not-edition-approved]","移动城市 [official_reproduced;concept-nomadic-city:F01]","Nomadic city [community_reference;concept-nomadic-city:F02;source=en;not-edition-approved]","mobile Stadt [candidate;semantic_translation;CAND-concept-nomadic-city-de-DE]","κινητή πόλη [candidate;semantic_translation;CAND-concept-nomadic-city-el-GR]","città mobile [candidate;semantic_translation;CAND-concept-nomadic-city-it-IT]","[not_verified]","mobilne miasto [candidate;semantic_translation;CAND-concept-nomadic-city-pl-PL]","мобильный город [candidate;semantic_translation;CAND-concept-nomadic-city-ru-RU]","不是所有泰拉聚落都可移动；ja-JP形式本包未取得合适锚点，显式缺失，待补。"
"role-catastrophe-messenger","role","天灾信使","Catastrophe Messenger [official_direct;role-catastrophe-messenger:F02;source=en;not-edition-approved]","天灾信使 [official_reproduced;role-catastrophe-messenger:F01]","Catastrophe Messenger [official_direct;role-catastrophe-messenger:F02;source=en;not-edition-approved]","Katastrophenbote [candidate;semantic_translation;CAND-role-catastrophe-messenger-de-DE]","αγγελιοφόρος καταστροφών [candidate;semantic_translation;CAND-role-catastrophe-messenger-el-GR]","messaggero delle catastrofi [candidate;semantic_translation;CAND-role-catastrophe-messenger-it-IT]","天災トランスポーター [official_direct;role-catastrophe-messenger:F03]","posłaniec katastrof [candidate;semantic_translation;CAND-role-catastrophe-messenger-pl-PL]","вестник катастроф [candidate;semantic_translation;CAND-role-catastrophe-messenger-ru-RU]","与一般配送信使相关但不等同；不把英文Messenger自动译成快递员。"
"concept-oripathy-suppressant","concept","矿石病抑制剂","Oripathy suppressants [official_reproduced;concept-oripathy-suppressant:F02;source=en;not-edition-approved]","矿石病抑制剂 [official_reproduced;concept-oripathy-suppressant:F01]","Oripathy suppressants [official_reproduced;concept-oripathy-suppressant:F02;source=en;not-edition-approved]","Oripathy-Suppressivum [candidate;semantic_translation;CAND-concept-oripathy-suppressant-de-DE]","κατασταλτικό της Oripathy [candidate;semantic_translation;CAND-concept-oripathy-suppressant-el-GR]","farmaco soppressore dell’Oripathy [candidate;semantic_translation;CAND-concept-oripathy-suppressant-it-IT]","[not_verified]","środek hamujący Oripathy [candidate;semantic_translation;CAND-concept-oripathy-suppressant-pl-PL]","средство для подавления Oripathy [candidate;semantic_translation;CAND-concept-oripathy-suppressant-ru-RU]","不是治愈药；普通抑制剂、浓缩抑制剂与抑制器具不可互换。ja-JP通用药名未独立核实；濃縮抑制剤只是具体藏品名称，不截掉修饰词冒充通用官方标签。"
"currency-lmd","currency","龙门币","LMD [official_direct;currency-lmd:F02;source=en;not-edition-approved] || Lungmen dollar [community_reference;currency-lmd:F03;source=en;not-edition-approved]","龙门币 [community_reference;currency-lmd:F01]","LMD [official_direct;currency-lmd:F02;source=en;not-edition-approved] || Lungmen dollar [community_reference;currency-lmd:F03;source=en;not-edition-approved]","LMD [candidate;protected_name;CAND-currency-lmd-de-DE]","LMD [candidate;protected_name;CAND-currency-lmd-el-GR]","LMD [candidate;protected_name;CAND-currency-lmd-it-IT]","龍門幣 [official_direct;currency-lmd:F04]","LMD [candidate;protected_name;CAND-currency-lmd-pl-PL]","LMD [candidate;protected_name;CAND-currency-lmd-ru-RU]","LMD为缩写；勿等同至纯源石、合成玉或现实货币。"
"role-operator","role","干员","Operator [official_direct;role-operator:F02;source=en;not-edition-approved]","干员 [official_direct;role-operator:F01]","Operator [official_direct;role-operator:F02;source=en;not-edition-approved]","Einsatzkraft [candidate;semantic_translation;CAND-role-operator-de-DE]","επιχειρησιακός πράκτορας [candidate;semantic_translation;CAND-role-operator-el-GR]","operatore [candidate;semantic_translation;CAND-role-operator-it-IT]","オペレーター [official_direct;role-operator:F03]","operator [candidate;semantic_translation;CAND-role-operator-pl-PL]","оперативник [candidate;semantic_translation;CAND-role-operator-ru-RU]","角色身份词与游戏可操作单位相关；不自动套用于普通剧团员工。"
"concept-originium-engine","concept","源石引擎","Originium engine [community_reference;concept-originium-engine:F02;source=en;not-edition-approved]","源石引擎 [official_reproduced;concept-originium-engine:F01]","Originium engine [community_reference;concept-originium-engine:F02;source=en;not-edition-approved]","Originium-Antrieb [candidate;semantic_translation;CAND-concept-originium-engine-de-DE]","κινητήρας Originium [candidate;semantic_translation;CAND-concept-originium-engine-el-GR]","motore a Originium [candidate;semantic_translation;CAND-concept-originium-engine-it-IT]","[not_verified]","silnik zasilany Originium [candidate;semantic_translation;CAND-concept-originium-engine-pl-PL]","двигатель на Originium [candidate;semantic_translation;CAND-concept-originium-engine-ru-RU]","是能源用途与移动城市的连接概念；ja-JP未核实，不从中文推音译。"
"concept-infection-monitor","concept","感染监控装置","Infection monitor [community_reference;concept-infection-monitor:F02;source=en;not-edition-approved]","感染监控装置 [official_reproduced;concept-infection-monitor:F01]","Infection monitor [community_reference;concept-infection-monitor:F02;source=en;not-edition-approved]","Infektionsmonitor [candidate;semantic_translation;CAND-concept-infection-monitor-de-DE]","συσκευή παρακολούθησης λοίμωξης [candidate;semantic_translation;CAND-concept-infection-monitor-el-GR]","dispositivo di monitoraggio dell’infezione [candidate;semantic_translation;CAND-concept-infection-monitor-it-IT]","[not_verified]","urządzenie monitorujące zakażenie [candidate;semantic_translation;CAND-concept-infection-monitor-pl-PL]","устройство мониторинга инфекции [candidate;semantic_translation;CAND-concept-infection-monitor-ru-RU]","监测器不是通用治愈装置；不可把不同型号或角色专用器具合并。ja-JP未核实。"
"concept-seaborn","race","海嗣","Seaborn [community_reference;concept-seaborn:F02;source=en;not-edition-approved]","海嗣 [community_reference;concept-seaborn:F01]","Seaborn [community_reference;concept-seaborn:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","シーボーン [community_reference;concept-seaborn:F03]","[not_verified]","[not_verified]","不等同阿戈尔种族；海嗣、恐鱼、海怪随叙述语境有范围差别，不能据社区重定向全部当显示别名。"
"concept-collapsal","concept","坍缩体","Collapsal [community_reference;concept-collapsal:F02;source=en;not-edition-approved]","坍缩体 [community_reference;concept-collapsal:F01]","Collapsal [community_reference;concept-collapsal:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","崩壊体 [community_reference;concept-collapsal:F03]","[not_verified]","[not_verified]","本包仅收录命名；其高风险认知机制不转写成站点行为。邪魔与坍缩体关系需保留说话人和语境。"
"concept-originium-slug","concept","源石虫","Originium slug [community_reference;concept-originium-slug:F02;source=en;not-edition-approved]","源石虫 [community_reference;concept-originium-slug:F01]","Originium slug [community_reference;concept-originium-slug:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","オリジムシ [community_reference;concept-originium-slug:F03]","[not_verified]","[not_verified]","生物概念与游戏同名敌人条目分开；不据名称推定任何接触都会传染。"
"concept-cell-originium-assimilation","concept","体细胞与源石融合率","Cell-Originium Assimilation [official_reproduced;concept-cell-originium-assimilation:F02;source=en;not-edition-approved]","体细胞与源石融合率 [official_reproduced;concept-cell-originium-assimilation:F01]","Cell-Originium Assimilation [official_reproduced;concept-cell-originium-assimilation:F02;source=en;not-edition-approved]","Zell-Originium-Assimilationsgrad [candidate;semantic_translation;CAND-concept-cell-originium-assimilation-de-DE]","βαθμός αφομοίωσης Originium στα κύτταρα [candidate;semantic_translation;CAND-concept-cell-originium-assimilation-el-GR]","grado di assimilazione cellulare dell’Originium [candidate;semantic_translation;CAND-concept-cell-originium-assimilation-it-IT]","[not_verified]","stopień asymilacji Originium w komórkach [candidate;semantic_translation;CAND-concept-cell-originium-assimilation-pl-PL]","степень слияния клеток с Originium [candidate;semantic_translation;CAND-concept-cell-originium-assimilation-ru-RU]","保留百分比指标身份，与血液浓度分开；不保存本次来源人物的个体数值。ja-JP未核实。"
"concept-blood-originium-density","concept","血液源石结晶密度","Blood Originium-Crystal Density [official_reproduced;concept-blood-originium-density:F02;source=en;not-edition-approved]","血液源石结晶密度 [official_reproduced;concept-blood-originium-density:F01]","Blood Originium-Crystal Density [official_reproduced;concept-blood-originium-density:F02;source=en;not-edition-approved]","Originium-Kristalldichte im Blut [candidate;semantic_translation;CAND-concept-blood-originium-density-de-DE]","πυκνότητα κρυστάλλων Originium στο αίμα [candidate;semantic_translation;CAND-concept-blood-originium-density-el-GR]","densità dei cristalli di Originium nel sangue [candidate;semantic_translation;CAND-concept-blood-originium-density-it-IT]","[not_verified]","gęstość kryształów Originium we krwi [candidate;semantic_translation;CAND-concept-blood-originium-density-pl-PL]","концентрация кристаллов Originium в крови [candidate;semantic_translation;CAND-concept-blood-originium-density-ru-RU]","与细胞融合百分比不同；保留u/L单位语境，不换算为现实医学阈值。ja-JP未核实。"
"race-sarkaz","race","萨卡兹","Sarkaz [community_reference;race-sarkaz:F02;source=en;not-edition-approved]","萨卡兹 [community_reference;race-sarkaz:F01]","Sarkaz [community_reference;race-sarkaz:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サルカズ [community_reference;race-sarkaz:F03]","[not_verified]","[not_verified]","不是邪恶身份标签；与萨科塔分开。"
"race-sankta","race","萨科塔","Sankta [community_reference;race-sankta:F02;source=en;not-edition-approved]","萨科塔 [community_reference;race-sankta:F01]","Sankta [community_reference;race-sankta:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サンクタ [community_reference;race-sankta:F03]","[not_verified]","[not_verified]","与萨卡兹及拉特兰国籍分开。"
